"Num","Name","Alias","SerebiiLink","SpritePath"
"906","Sprigatito","sprigatito","pokemon/sprigatito/","https://www.serebii.net/scarletviolet/pokemon/906.png"
"907","Floragato","floragato","pokemon/floragato/","https://www.serebii.net/scarletviolet/pokemon/907.png"
"908","Meowscarada","meowscarada","pokemon/meowscarada/","https://www.serebii.net/scarletviolet/pokemon/908.png"
"909","Fuecoco","fuecoco","pokemon/fuecoco/","https://www.serebii.net/scarletviolet/pokemon/909.png"
"910","Crocalor","crocalor","pokemon/crocalor/","https://www.serebii.net/scarletviolet/pokemon/910.png"
"911","Skeledirge","skeledirge","pokemon/skeledirge/","https://www.serebii.net/scarletviolet/pokemon/911.png"
"912","Quaxly","quaxly","pokemon/quaxly/","https://www.serebii.net/scarletviolet/pokemon/912.png"
"913","Quaxwell","quaxwell","pokemon/quaxwell/","https://www.serebii.net/scarletviolet/pokemon/913.png"
"914","Quaquaval","quaquaval","pokemon/quaquaval/","https://www.serebii.net/scarletviolet/pokemon/914.png"
"915","Lechonk","lechonk","pokemon/lechonk/","https://www.serebii.net/scarletviolet/pokemon/915.png"
"916","Oinkologne","oinkologne","pokemon/oinkologne/","https://www.serebii.net/scarletviolet/pokemon/916.png"
"916","Oinkologne (Female)","oinkologne-f","pokemon/oinkologne/","https://www.serebii.net/scarletviolet/pokemon/916-f.png"
"917","Dudunsparce (Two-Segment)","dudunsparce-two-segment","pokemon/dudunsparce/","https://www.serebii.net/scarletviolet/pokemon/917.png"
"917","Dudunsparce (Three-Segment)","dudunsparce-three-segment","pokemon/dudunsparce/","https://www.serebii.net/scarletviolet/pokemon/917-t.png"
"918","Tarountula","tarountula","pokemon/tarountula/","https://www.serebii.net/scarletviolet/pokemon/918.png"
"919","Spidops","spidops","pokemon/spidops/","https://www.serebii.net/scarletviolet/pokemon/919.png"
"920","Nymble","nymble","pokemon/nymble/","https://www.serebii.net/scarletviolet/pokemon/920.png"
"921","Lokix","lokix","pokemon/lokix/","https://www.serebii.net/scarletviolet/pokemon/921.png"
"922","Rellor","rellor","pokemon/rellor/","https://www.serebii.net/scarletviolet/pokemon/922.png"
"923","Rabsca","rabsca","pokemon/rabsca/","https://www.serebii.net/scarletviolet/pokemon/923.png"
"924","Greavard","greavard","pokemon/greavard/","https://www.serebii.net/scarletviolet/pokemon/924.png"
"925","Houndstone","houndstone","pokemon/houndstone/","https://www.serebii.net/scarletviolet/pokemon/925.png"
"926","Flittle","flittle","pokemon/flittle/","https://www.serebii.net/scarletviolet/pokemon/926.png"
"927","Espathra","espathra","pokemon/espathra/","https://www.serebii.net/scarletviolet/pokemon/927.png"
"928","Farigiraf","farigiraf","pokemon/farigiraf/","https://www.serebii.net/scarletviolet/pokemon/928.png"
"929","Wiglett","wiglett","pokemon/wiglett/","https://www.serebii.net/scarletviolet/pokemon/929.png"
